Time,intensity1,intensity2,intensity3,intensity4,force1,force2,force3,force4
0,,,,10324,,,,0.757401576
0,,,,11954,,,,0.773812952
0.1,,,,14246,,,,0.796664794
0.1,,,,15170,,,,0.805803591
0.2,,,,15170,,,,0.805803591
0.2,,,,18874,,,,0.842017349
0.2,,,,21547,,,,0.867737878
0.3,,,,23293,,,,0.884353964
0.3,,,,23669,,,,0.887913299
0.4,,,,27211,,,,0.92111689
0.4,,,,28275,,,,0.93097691
0.4,,,,29014,,,,0.937794416
0.5,,,,40582,,,,1.041302429
0.5,,,,42021,,,,1.053766515
0.6,,,,44210,,,,1.07255693
0.6,,,,45324,,,,1.08204151
0.7,,,,46003,,,,1.087796886
0.7,,,,48649,,,,1.110041477
0.8,,,,53010,,,,1.146075641
0.8,,,,59538,,,,1.198592454
0.9,,,,57475,,,,1.18217705
0.9,,,,57703,,,,1.183999407
1,,,,60684,,,,1.207640052
1,,,,64056,,,,1.233970893
1.1,,1859,,80580,,0.989273,,1.25377556
1.2,,2389,,83372,,1.00048828,,1.27259116
1.2,,4684,,95017,,1.04778908,,1.35130796
1.3,,12144,,106409,,1.12639436,,1.44312476
1.4,,13254,,107800,,1.1372268,,1.45490136
1.5,330,20447,,127035,1.16979488,1.237388,,1.59552368
1.6,609,20932,,128648,1.177483,1.24576828,,1.60769404
1.6,911,23978,,138905,1.21713592,1.29464104,,1.68079576
1.8,947,23169,,129987,1.18973444,1.26440036,,1.62330884
1.9,1827,24577,,140310,1.22850648,1.30494648,,1.69380936
1.9,1840,28307,,145081,1.25272992,1.34165904,,1.73401968
2,1913,28777,,130140,1.21208488,1.30234792,,1.6429276
2.2,1696,25964,,138126,1.2254308,1.30697128,,1.6838356
2.3,2278,29147,,149979,1.27174144,1.36202128,,1.7680168
2.4,2000,27108,1817,157302,1.29018468,1.37454756,1.2895698,1.8119994
2.5,3014,26945,3171,171623,1.34052556,1.42093372,1.34105308,1.9070518
2.6,3286,28406,3659,175057,1.35749968,1.44190288,1.35875296,1.93465024
2.8,3374,26600,3792,169928,1.3387276,1.41676696,1.34013208,1.89834904
3,6210,32746,9411,203088,1.4838978,1.57305876,1.49465316,2.14540788
3.1,7739,36646,11996,217799,1.55357424,1.65070176,1.56787776,2.25937584
3.2,8829,38107,13162,223258,1.58329648,1.68167056,1.59785536,2.30377792
3.4,10106,37731,14784,227538,1.60690772,1.69972772,1.6226258,2.33747924
3.6,10334,38147,16713,230355,1.6229814,1.71643308,1.64441484,2.36225196
3.7,11338,38796,17943,229617,1.63244664,1.72470552,1.65463944,2.36586408
3.9,13049,38325,20854,234897,1.66497964,1.749907,1.69120444,2.41038892
4.1,15067,39619,22875,227489,1.66586712,1.74836184,1.692102,2.37960504
4.2,17048,39339,26091,230065,1.6938034,1.76870116,1.72418788,2.40954052
4.4,18525,38983,28376,226439,1.69814132,1.7668802,1.73124068,2.39673236
4.5,20539,38751,31462,224984,1.71460128,1.7757936,1.75130256,2.40153648
4.7,22665,38918,33641,220974,1.72305672,1.7776668,1.75993608,2.38937496
4.9,26966,37638,39575,214169,1.74361408,1.779472,1.78598032,2.37261616
5,31409,38255,42187,205826,1.75663692,1.77963948,1.792851,2.34267804
5.2,34988,38133,41731,195171,1.746925,1.7574922,1.76958148,2.28513988
5.3,37067,39554,43314,194926,1.76765036,1.77600668,1.78864028,2.2980566
5.5,42671,42799,43789,182394,1.77736908,1.77779916,1.78112556,2.24683836
5.6,46226,43589,43179,176550,1.78332432,1.774464,1.7730864,2.22121296
5.8,47910,46120,41297,169429,1.77538464,1.76937024,1.75316496,2.18368848
5.9,48540,47531,39150,166199,1.7680272,1.76463696,1.7364768,2.16336144
6.1,49966,47484,37786,164416,1.76779744,1.75945792,1.72687264,2.15234944
6.2,52489,53049,35694,166267,1.7985602,1.8004418,1.742129,2.18085428
6.4,50972,56704,33672,170264,1.805144,1.82440352,1.747016,2.20596512
6.5,50037,57040,33340,171964,1.80418636,1.82771644,1.74808444,2.21386108
6.7,47315,69319,27669,181802,1.8340166,1.90795004,1.76800604,2.28589292
6.8,44533,79213,24560,187763,1.85296684,1.96949164,1.78585756,2.33421964
7,40905,98344,20810,201189,1.91228512,2.10528016,1.84476592,2.45083936
7.2,39835,104538,20680,207766,1.94155156,2.15895364,1.87719076,2.50579972
7.3,39291,108621,21021,211709,1.96194104,2.19488984,1.90055384,2.54126552
7.5,38819,111089,22615,225966,2.0110406,2.2538678,1.95659516,2.63985452
7.7,37466,108784,23223,229628,2.0082326,2.24786108,1.96037612,2.65389692
7.9,94960,34924,25151,231075,1.96279704,2.164518,1.92995976,2.6218644
8.1,82752,33240,27753,234533,1.93489592,2.10125624,1.9164596,2.6112404
8.3,86290,37506,33554,244633,2.01655188,2.18046612,2.00327316,2.7124986
8.4,38507,82241,37444,247139,2.02942356,2.1763698,2.02585188,2.73042708
8.7,40994,72063,42716,241475,2.01482416,2.119216,2.02061008,2.68844032
8.8,43320,69990,41206,236075,2.00373364,2.09334484,1.9966306,2.65139044
9,44971,67262,41756,239905,2.01866152,2.09355928,2.00785912,2.67363976
9.2,39441,54377,39755,236016,1.93105452,1.98123948,1.93210956,2.59154652
9.4,38374,49239,40550,241122,1.92660604,1.96311244,1.9339174,2.60783932
9.5,41517,47517,41223,234310,1.9237674,1.9439274,1.92277956,2.57155188
9.7,37721,39329,37309,220314,1.82611388,1.83151676,1.82472956,2.43962636
9.9,36915,36483,36683,212028,1.78772396,1.78627244,1.78694444,2.37610364
10,36202,32760,35396,205631,1.75090748,1.73934236,1.74819932,2.32018892
10.2,36210,30381,36510,201491,1.73560688,1.71602144,1.73661488,2.29095104
10.3,34503,24679,36386,193635,1.6861666,1.65315796,1.69249348,2.22085012
10.5,33105,21886,35139,187769,1.64936596,1.61167012,1.6562002,2.169037
10.6,29057,15982,33201,183073,1.58866044,1.54472844,1.60258428,2.1061542
10.8,26515,14213,31788,183199,1.564221,1.52288628,1.58193828,2.09067924
10.9,23048,11291,30186,179028,1.5180318,1.47852828,1.54201548,2.0421246
11,17293,8975,25606,169270,1.43505344,1.40710496,1.46298512,1.94569616
11.1,15688,6637,23189,163864,1.3962452,1.36583384,1.42144856,1.89411656
11.3,14242,6601,23707,160577,1.3793138,1.35364004,1.4111162,1.8709994
11.4,11989,4778,23690,157658,1.35182964,1.32760068,1.391145,1.84127748
11.5,11903,4363,25661,155815,1.35048136,1.32514696,1.39670824,1.83402568
11.6,13118,3868,27769,157500,1.36738068,1.33630068,1.41660804,1.8525042
11.8,13596,4045,29590,159640,1.3820962,1.35000484,1.43583604,1.87280404
11.9,15481,3902,34542,163485,1.41836056,1.37945512,1.48240552,1.915654
12,18416,4222,40223,172229,1.47843336,1.43074152,1.55170488,1.99524504
12.1,22454,5279,45243,180214,1.54340504,1.48569704,1.61997608,2.07347864
12.3,25656,5007,48155,185611,1.58608252,1.51670188,1.66167916,2.12353132
12.4,29171,6366,52722,197555,1.65862632,1.58200152,1.73775768,2.22439656
12.6,31822,7549,57731,210977,1.73076628,1.649209,1.81782052,2.33272708
12.7,36431,8035,62650,222544,1.80754256,1.712132,1.8956384,2.43288224
12.9,40146,8648,66148,227654,1.8567632,1.75092992,1.94412992,2.48679008
13.1,43381,10614,68635,230728,1.89819688,1.78809976,1.98305032,2.5276828
13.2,50606,16261,71381,233141,1.97368092,1.85828172,2.04348492,2.58699852
13.4,53414,19655,72138,236386,2.01209516,1.89866492,2.0750078,2.62688108
13.6,53310,23159,74699,243194,2.04800968,1.94670232,2.11987672,2.68601992
13.8,53610,30359,73773,251675,2.09177388,2.01365052,2.15952156,2.75727228
13.9,54429,32140,73591,250766,2.09881128,2.02392024,2.1631956,2.7585036
14.1,53571,38491,73088,252417,2.11478884,2.06412004,2.18036596,2.7829114
