Time,Cluster1_Intensity,Cluster1_NormalForce,Cluster1_ShearForce_x,Cluster1_ShearForce_y,Cluster2_Intensity,Cluster2_NormalForce,Cluster2_ShearForce_x,Cluster2_ShearForce_y,shear1_forcex,shear1_forcey,shear2_forcex,shear2_forcey
0,941,0.660291662,-0.013549616,0.038390579,,,,,-0.013549616,0.038390579,,
0.1,3877,0.691167443,0.608234537,-0.023518017,,,,,0.352205768,0.001973758,,
0.2,5206,0.704995836,1.242125915,-0.005209412,,,,,0.758562,-0.001306228,,
0.4,10623,0.760422015,-0.116701382,0.95539629,,,,,0.41301783,0.376389199,,
0.5,17684,0.830455783,0.586240686,1.11215466,,,,,0.47548325,0.641711568,,
0.6,21643,0.868655248,1.115990998,-0.061358587,,,,,0.693256363,0.402667189,,
0.8,31220,0.957996522,0.812222866,-0.303343563,,,,,0.732149316,0.17185564,,
0.9,40961,1.044593833,1.200095957,0.129503356,,,,,0.881121243,0.15837269,,
1,47895,1.103732313,-0.938112369,-0.835037707,,,,,0.312401257,-0.152182449,,
1.2,61001,1.210133836,0.46153953,-1.187650537,,,,,0.358443313,-0.471852771,,
1.3,77275,1.333161722,0.466086786,-1.700529656,,,,,0.391387775,-0.847891348,,
1.5,96906,1.469544644,1.122059588,-1.009574566,,,,,0.613665934,-0.897077108,,
1.6,117903,1.602807895,1.306661793,-0.77284875,,,,,0.82359871,-0.859443977,,
1.8,138048,1.720427346,1.312442796,-1.426070081,,,,,0.971253364,-1.030592577,,
2,152386,1.799132603,1.61950077,-2.060721454,,,,,1.166655268,-1.341105419,,
2.1,168057,1.881333945,1.090226356,-1.635339534,,,,,1.143650142,-1.42966998,,
2.3,175401,1.918735654,1.016506071,-1.669312875,,,,,1.105417981,-1.501730483,,
2.5,186932,1.976318503,0.191803086,-1.304614585,,,,,0.830886462,-1.442499261,,
2.7,194787,2.014907805,0.851702526,-1.569785027,,,,,0.837138407,-1.480728568,,
2.8,195648,2.019112352,1.080178746,-1.683211049,,,,,0.910108734,-1.54152182,,
3,198738,2.03416646,0.760920757,-1.521841514,,,,,0.865327328,-1.535614429,,
3.2,202354,2.05172024,0.854883557,-1.353626455,,,,,0.862192971,-1.480996682,,
3.3,201885,2.049446954,0.389628948,0.43980254,,,,,0.720384953,-0.904599163,,
3.5,189838,1.990646639,-1.791581345,1.108383789,,,,,-0.033349338,-0.30058856,,
3.7,178907,1.936379201,-1.036382949,2.298726808,,,,,-0.334299781,0.47931064,,
3.9,181167,1.947686639,-1.235947131,2.071342644,,,,,-0.604819381,0.956965081,,
4.1,171436,1.898621236,-0.132069859,1.783192489,,,,,-0.462985204,1.204849592,,
4.2,157169,1.824604874,-0.376327024,2.270677505,,,,,-0.436986554,1.524612675,,
4.4,148421,1.777734111,-0.116609904,1.964050948,,,,,-0.340870464,1.656448402,,
4.6,139807,1.730287773,-0.72019893,1.307835206,,,,,-0.454671569,1.551862086,,
4.8,120614,1.619175372,-0.785513816,1.036576877,,,,,-0.553925809,1.397274084,,
4.9,111866,1.56570243,-0.768158522,1.637905875,,,,,-0.618196333,1.469464419,,
5,103266,1.511189399,-0.669419153,1.425065179,,,,,-0.633563298,1.456144544,,
